omega_tau,C_12,C_13,C_23,K_3
0.0,1.0,1.0,1.0,1.0
0.006289474781961547,1.0,1.0,1.0,1.0
0.012578949563923095,1.0,1.0,1.0,1.0
0.018868424345884642,1.0,1.0,1.0,1.0
0.02515789912784619,1.0,1.0,1.0,1.0
0.03144737390980774,1.0,0.998,1.0,1.002
0.037736848691769284,1.0,1.0,1.0,1.0
0.04402632347373083,0.996,0.998,0.998,0.996
0.05031579825569238,0.998,0.99,1.0,1.008
0.056605273037653926,0.998,0.99,0.996,1.004
0.06289474781961547,0.998,0.994,1.0,1.004
0.06918422260157703,1.0,0.982,0.998,1.016
0.07547369738353857,0.998,0.992,0.998,1.004
0.08176317216550011,0.996,0.996,1.0,1.0
0.08805264694746166,0.992,0.988,1.0,1.004
0.09434212172942322,0.996,0.982,1.0,1.014
0.10063159651138476,0.992,0.974,0.998,1.016
0.1069210712933463,0.994,0.976,0.998,1.016
0.11321054607530785,1.0,0.976,0.994,1.018
0.1195000208572694,0.994,0.986,0.99,0.998
0.12578949563923095,0.986,0.966,0.99,1.01
0.1320789704211925,0.996,0.964,0.986,1.018
0.13836844520315406,0.992,0.968,0.99,1.014
0.1446579199851156,0.996,0.966,0.976,1.006
0.15094739476707714,0.984,0.96,0.99,1.014
0.15723686954903868,0.992,0.962,0.986,1.016
0.16352634433100022,0.99,0.954,0.99,1.026
0.16981581911296179,0.984,0.932,0.99,1.0419999999999998
0.17610529389492333,0.98,0.924,0.998,1.0539999999999998
0.18239476867688487,0.994,0.924,0.982,1.052
0.18868424345884643,0.99,0.936,0.968,1.0219999999999998
0.19497371824080797,0.984,0.928,0.988,1.044
0.20126319302276952,0.984,0.91,0.974,1.048
0.20755266780473106,0.992,0.922,0.986,1.056
0.2138421425866926,0.986,0.914,0.984,1.056
0.22013161736865416,0.974,0.916,0.98,1.0379999999999998
0.2264210921506157,0.982,0.914,0.98,1.048
0.23271056693257725,0.956,0.886,0.976,1.0459999999999998
0.2390000417145388,0.972,0.91,0.962,1.024
0.24528951649650035,0.958,0.86,0.974,1.072
0.2515789912784619,0.974,0.898,0.968,1.044
0.25786846606042346,0.96,0.89,0.976,1.0459999999999998
0.264157940842385,0.966,0.834,0.98,1.112
0.27044741562434654,0.976,0.878,0.974,1.072
0.2767368904063081,0.962,0.856,0.948,1.0539999999999998
0.2830263651882696,0.964,0.826,0.954,1.092
0.2893158399702312,0.942,0.862,0.954,1.0339999999999998
0.2956053147521927,0.964,0.83,0.964,1.0979999999999999
0.3018947895341543,0.952,0.826,0.956,1.0819999999999999
0.30818426431611584,0.948,0.824,0.954,1.0779999999999998
0.31447373909807735,0.958,0.83,0.944,1.072
0.3207632138800389,0.938,0.81,0.962,1.0899999999999999
0.32705268866200043,0.946,0.824,0.932,1.0540000000000003
0.333342163443962,0.952,0.758,0.95,1.144
0.33963163822592357,0.928,0.78,0.93,1.078
0.3459211130078851,0.94,0.814,0.95,1.076
0.35221058778984665,0.936,0.734,0.93,1.1320000000000001
0.3585000625718082,0.942,0.752,0.93,1.1199999999999999
0.36478953735376973,0.954,0.72,0.942,1.176
