omega_tau,C_12,C_13,C_23,K_3
0.0,1.0,1.0,1.0,1.0
0.006289474781961547,1.0,1.0,1.0,1.0
0.012578949563923095,1.0,1.0,1.0,1.0
0.018868424345884642,1.0,1.0,1.0,1.0
0.02515789912784619,1.0,1.0,1.0,1.0
0.03144737390980774,1.0,0.998,1.0,1.002
0.037736848691769284,1.0,0.996,1.0,1.004
0.04402632347373083,0.996,1.0,1.0,0.996
0.05031579825569238,1.0,0.998,0.996,0.998
0.056605273037653926,1.0,0.99,1.0,1.01
0.06289474781961547,0.996,0.996,0.994,0.994
0.06918422260157703,0.998,0.996,1.0,1.002
0.07547369738353857,0.998,0.994,1.0,1.004
0.08176317216550011,0.996,0.994,0.996,0.998
0.08805264694746166,0.996,0.988,0.992,1.0
0.09434212172942322,0.996,0.982,0.998,1.012
0.10063159651138476,0.994,0.99,0.996,1.0
0.1069210712933463,0.994,0.966,0.992,1.02
0.11321054607530785,0.994,0.96,0.992,1.026
0.1195000208572694,0.988,0.976,0.992,1.004
0.12578949563923095,0.984,0.966,0.994,1.012
0.1320789704211925,0.984,0.97,0.994,1.008
0.13836844520315406,0.99,0.964,0.99,1.016
0.1446579199851156,0.992,0.954,0.984,1.022
0.15094739476707714,0.998,0.96,0.996,1.034
0.15723686954903868,0.976,0.956,0.992,1.012
0.16352634433100022,0.988,0.946,0.984,1.026
0.16981581911296179,0.996,0.948,0.988,1.036
0.17610529389492333,0.992,0.932,0.99,1.0499999999999998
0.18239476867688487,0.986,0.926,0.982,1.0419999999999998
0.18868424345884643,0.988,0.928,0.968,1.028
0.19497371824080797,0.984,0.94,0.982,1.026
0.20126319302276952,0.96,0.914,0.978,1.024
0.20755266780473106,0.986,0.926,0.986,1.0459999999999998
0.2138421425866926,0.98,0.924,0.986,1.0419999999999998
0.22013161736865416,0.97,0.91,0.988,1.048
0.2264210921506157,0.978,0.888,0.972,1.0619999999999998
0.23271056693257725,0.966,0.89,0.964,1.04
0.2390000417145388,0.976,0.88,0.976,1.072
0.24528951649650035,0.984,0.908,0.978,1.0539999999999998
0.2515789912784619,0.974,0.86,0.966,1.08
0.25786846606042346,0.982,0.874,0.964,1.072
0.264157940842385,0.976,0.87,0.966,1.072
0.27044741562434654,0.964,0.844,0.98,1.1
0.2767368904063081,0.96,0.84,0.968,1.088
0.2830263651882696,0.968,0.862,0.964,1.0699999999999998
0.2893158399702312,0.95,0.826,0.96,1.084
0.2956053147521927,0.956,0.828,0.946,1.0739999999999998
0.3018947895341543,0.942,0.852,0.958,1.048
0.30818426431611584,0.972,0.788,0.946,1.13
0.31447373909807735,0.956,0.842,0.95,1.064
0.3207632138800389,0.946,0.808,0.95,1.0879999999999999
0.32705268866200043,0.944,0.836,0.922,1.0300000000000002
0.333342163443962,0.934,0.81,0.932,1.056
0.33963163822592357,0.934,0.794,0.952,1.092
0.3459211130078851,0.958,0.776,0.942,1.1239999999999999
0.35221058778984665,0.934,0.77,0.948,1.112
0.3585000625718082,0.898,0.744,0.928,1.082
0.36478953735376973,0.932,0.772,0.952,1.1119999999999999
0.3710790121357313,0.93,0.73,0.92,1.12
