omega_tau,C_12,C_13,C_23,K_3
0.0,-0.808,-0.8,1.0,0.992
0.006289474781961547,-0.8016,-0.804,1.0,1.0024000000000002
0.012578949563923095,-0.8072,-0.804,0.9998,0.9966
0.018868424345884642,-0.805,-0.819,0.9998,1.0137999999999998
0.02515789912784619,-0.8184,-0.8256,0.9998,1.0070000000000001
0.03144737390980774,-0.8198,-0.844,0.9992,1.0234
0.037736848691769284,-0.8282,-0.8424,0.9994,1.0135999999999998
0.04402632347373083,-0.8188,-0.851,0.9994,1.0316
0.05031579825569238,-0.8226,-0.8504,0.9996,1.0274
0.056605273037653926,-0.8296,-0.8628,0.9994,1.0326
0.06289474781961547,-0.84,-0.8688,0.9976,1.0264000000000002
0.06918422260157703,-0.8358,-0.8816,0.998,1.0438
0.07547369738353857,-0.8492,-0.8864,0.9972,1.0344
0.08176317216550011,-0.8498,-0.892,0.9978,1.04
0.08805264694746166,-0.8562,-0.8908,0.996,1.0306000000000002
0.09434212172942322,-0.8584,-0.898,0.997,1.0366
0.10063159651138476,-0.8526,-0.9092,0.9958,1.0524
0.1069210712933463,-0.8608,-0.902,0.9932,1.0344
0.11321054607530785,-0.854,-0.909,0.9944,1.0493999999999999
0.1195000208572694,-0.8574,-0.9156,0.9924,1.0505999999999998
0.12578949563923095,-0.8674,-0.9182,0.9918,1.0426000000000002
0.1320789704211925,-0.8748,-0.928,0.9902,1.0434
0.13836844520315406,-0.871,-0.9328,0.9898,1.0516
0.1446579199851156,-0.8732,-0.9446,0.9886,1.06
0.15094739476707714,-0.8758,-0.939,0.9856,1.0488
0.15723686954903868,-0.878,-0.9422,0.9878,1.052
0.16352634433100022,-0.8856,-0.9508,0.986,1.0512
0.16981581911296179,-0.8864,-0.9544,0.988,1.056
0.17610529389492333,-0.8866,-0.9522,0.9848,1.0504
0.18239476867688487,-0.8948,-0.9596,0.985,1.0497999999999998
0.18868424345884643,-0.9018,-0.9648,0.9798,1.0428
0.19497371824080797,-0.8956,-0.9646,0.9842,1.0532
0.20126319302276952,-0.8986,-0.971,0.9826,1.0550000000000002
0.20755266780473106,-0.915,-0.9736,0.9798,1.0384
0.2138421425866926,-0.9026,-0.9786,0.9758,1.0518
0.22013161736865416,-0.9158,-0.9762,0.9754,1.0358
0.2264210921506157,-0.9186,-0.9844,0.9778,1.0436
0.23271056693257725,-0.91,-0.984,0.974,1.048
0.2390000417145388,-0.9174,-0.9864,0.9722,1.0412
0.24528951649650035,-0.9164,-0.9864,0.9644,1.0344000000000002
0.2515789912784619,-0.917,-0.9906,0.968,1.0415999999999999
0.25786846606042346,-0.9216,-0.9936,0.963,1.0350000000000001
0.264157940842385,-0.9334,-0.9934,0.97,1.0299999999999998
0.27044741562434654,-0.9346,-0.9936,0.9692,1.0282
0.2767368904063081,-0.9382,-0.9964,0.9626,1.0208
0.2830263651882696,-0.9358,-0.9974,0.9686,1.0302
0.2893158399702312,-0.9372,-0.9984,0.9558,1.017
0.2956053147521927,-0.9454,-0.9992,0.9542,1.008
