omega_tau,C_12,C_13,C_23,K_3
0.0,0.383,0.3946,1.0,0.9884
0.006289474781961547,0.4064,0.399,1.0,1.0074
0.012578949563923095,0.3934,0.3772,1.0,1.0162
0.018868424345884642,0.3962,0.3548,0.9998,1.0412
0.02515789912784619,0.3884,0.3502,1.0,1.0382
0.03144737390980774,0.363,0.3346,0.9994,1.0278
0.037736848691769284,0.3532,0.3278,0.999,1.0244
0.04402632347373083,0.366,0.3092,0.9994,1.0562
0.05031579825569238,0.3614,0.309,0.9994,1.0518
0.056605273037653926,0.3412,0.2908,0.9972,1.0476
0.06289474781961547,0.3344,0.292,0.9984,1.0408
0.06918422260157703,0.3342,0.2886,0.9984,1.044
0.07547369738353857,0.336,0.2578,0.9978,1.076
0.08176317216550011,0.3378,0.2432,0.9972,1.0917999999999999
0.08805264694746166,0.3082,0.2506,0.996,1.0536
0.09434212172942322,0.3124,0.2282,0.9958,1.08
0.10063159651138476,0.311,0.2272,0.9942,1.0779999999999998
0.1069210712933463,0.2962,0.1924,0.9952,1.099
0.11321054607530785,0.281,0.187,0.9936,1.0876
0.1195000208572694,0.2886,0.1582,0.9922,1.1225999999999998
0.12578949563923095,0.2842,0.1412,0.9914,1.1343999999999999
0.1320789704211925,0.2602,0.1518,0.9902,1.0986
0.13836844520315406,0.264,0.1094,0.9924,1.147
0.1446579199851156,0.2642,0.1112,0.991,1.144
0.15094739476707714,0.2556,0.1036,0.988,1.1400000000000001
0.15723686954903868,0.2412,0.0854,0.9876,1.1434000000000002
0.16352634433100022,0.2578,0.0726,0.9868,1.172
0.16981581911296179,0.245,0.0678,0.9852,1.1623999999999999
0.17610529389492333,0.2302,0.041,0.9838,1.173
0.18239476867688487,0.2368,0.0362,0.9814,1.182
0.18868424345884643,0.2274,0.0286,0.9842,1.183
0.19497371824080797,0.2182,0.0264,0.9796,1.1714
0.20126319302276952,0.2016,0.0276,0.9784,1.1524
0.20755266780473106,0.1982,-0.0028,0.9824,1.1834
0.2138421425866926,0.2022,-0.0078,0.9762,1.1862
0.22013161736865416,0.204,-0.0402,0.9736,1.2178
0.2264210921506157,0.1908,-0.0466,0.9748,1.2122
0.23271056693257725,0.1796,-0.0528,0.9746,1.207
0.2390000417145388,0.172,-0.063,0.973,1.208
0.24528951649650035,0.1662,-0.0758,0.9672,1.2092
0.2515789912784619,0.1466,-0.0966,0.9712,1.2144
0.25786846606042346,0.1512,-0.1124,0.9672,1.2308
0.264157940842385,0.1476,-0.0922,0.962,1.2018
0.27044741562434654,0.1486,-0.1396,0.963,1.2511999999999999
0.2767368904063081,0.1446,-0.1404,0.9612,1.2462000000000002
0.2830263651882696,0.1436,-0.1846,0.9672,1.2953999999999999
0.2893158399702312,0.123,-0.1738,0.9594,1.2562
0.2956053147521927,0.1172,-0.1862,0.9558,1.2591999999999999
0.3018947895341543,0.1116,-0.183,0.952,1.2466
