omega_tau,C_12,C_13,C_23,K_3
0.0,0.78,0.808,1.0,0.972
0.006289474781961547,0.778,0.776,1.0,1.002
0.012578949563923095,0.818,0.776,1.0,1.042
0.018868424345884642,0.8,0.784,1.0,1.016
0.02515789912784619,0.79,0.746,1.0,1.044
0.03144737390980774,0.818,0.77,1.0,1.048
0.037736848691769284,0.732,0.748,1.0,0.984
0.04402632347373083,0.81,0.746,1.0,1.064
0.05031579825569238,0.754,0.756,1.0,0.998
0.056605273037653926,0.804,0.696,0.994,1.102
0.06289474781961547,0.762,0.736,1.0,1.026
0.06918422260157703,0.772,0.702,0.998,1.068
0.07547369738353857,0.748,0.74,0.998,1.006
0.08176317216550011,0.736,0.752,1.0,0.984
0.08805264694746166,0.734,0.684,0.992,1.0419999999999998
0.09434212172942322,0.718,0.694,0.994,1.018
0.10063159651138476,0.764,0.698,0.998,1.064
0.1069210712933463,0.712,0.64,0.99,1.0619999999999998
0.11321054607530785,0.738,0.594,0.992,1.1360000000000001
0.1195000208572694,0.688,0.676,0.992,1.004
0.12578949563923095,0.742,0.63,0.994,1.1059999999999999
0.1320789704211925,0.712,0.656,0.998,1.0539999999999998
0.13836844520315406,0.716,0.636,0.992,1.072
0.1446579199851156,0.698,0.614,0.988,1.072
0.15094739476707714,0.706,0.59,0.99,1.1059999999999999
0.15723686954903868,0.71,0.55,0.986,1.146
0.16352634433100022,0.704,0.602,0.99,1.092
0.16981581911296179,0.706,0.512,0.994,1.188
0.17610529389492333,0.666,0.53,0.988,1.1239999999999999
0.18239476867688487,0.666,0.576,0.98,1.0699999999999998
0.18868424345884643,0.676,0.534,0.986,1.128
0.19497371824080797,0.646,0.512,0.978,1.112
0.20126319302276952,0.724,0.542,0.978,1.16
0.20755266780473106,0.652,0.52,0.976,1.108
0.2138421425866926,0.626,0.492,0.978,1.112
0.22013161736865416,0.666,0.494,0.968,1.14
0.2264210921506157,0.602,0.406,0.97,1.166
0.23271056693257725,0.654,0.442,0.954,1.1660000000000001
0.2390000417145388,0.668,0.418,0.982,1.232
0.24528951649650035,0.674,0.408,0.96,1.226
0.2515789912784619,0.614,0.384,0.978,1.2080000000000002
0.25786846606042346,0.6,0.408,0.986,1.178
0.264157940842385,0.588,0.388,0.972,1.1720000000000002
0.27044741562434654,0.62,0.384,0.966,1.202
0.2767368904063081,0.632,0.358,0.982,1.2559999999999998
0.2830263651882696,0.582,0.37,0.954,1.166
0.2893158399702312,0.578,0.366,0.97,1.182
0.2956053147521927,0.62,0.332,0.96,1.248
0.3018947895341543,0.642,0.282,0.952,1.3119999999999998
0.30818426431611584,0.574,0.274,0.962,1.262
0.31447373909807735,0.578,0.33,0.954,1.202
0.3207632138800389,0.576,0.298,0.946,1.2239999999999998
0.32705268866200043,0.568,0.242,0.95,1.2759999999999998
0.333342163443962,0.544,0.276,0.948,1.216
0.33963163822592357,0.558,0.216,0.948,1.29
0.3459211130078851,0.564,0.228,0.956,1.292
0.35221058778984665,0.526,0.232,0.94,1.234
