omega_tau,C_12,C_13,C_23,K_3
0.0,-0.02,0.024,1.0,0.956
0.006289474781961547,0.0,-0.002,1.0,1.002
0.012578949563923095,0.056,-0.014,1.0,1.07
0.018868424345884642,-0.026,-0.066,1.0,1.04
0.02515789912784619,-0.014,-0.052,1.0,1.038
0.03144737390980774,-0.046,-0.104,1.0,1.058
0.037736848691769284,-0.03,-0.1,1.0,1.07
0.04402632347373083,-0.048,-0.102,0.998,1.052
0.05031579825569238,-0.098,-0.14,0.996,1.038
0.056605273037653926,-0.024,-0.096,0.998,1.07
0.06289474781961547,-0.046,-0.132,0.996,1.0819999999999999
0.06918422260157703,-0.024,-0.158,0.994,1.128
0.07547369738353857,-0.094,-0.154,0.998,1.058
0.08176317216550011,-0.088,-0.2,0.996,1.108
0.08805264694746166,-0.102,-0.21,0.996,1.104
0.09434212172942322,-0.104,-0.188,0.996,1.08
0.10063159651138476,-0.086,-0.188,0.998,1.1
0.1069210712933463,-0.146,-0.186,1.0,1.04
0.11321054607530785,-0.15,-0.208,0.992,1.05
0.1195000208572694,-0.056,-0.258,0.996,1.198
0.12578949563923095,-0.156,-0.198,0.996,1.038
0.1320789704211925,-0.174,-0.31,0.986,1.122
0.13836844520315406,-0.148,-0.266,0.994,1.112
0.1446579199851156,-0.124,-0.29,0.986,1.152
0.15094739476707714,-0.086,-0.27,0.982,1.166
0.15723686954903868,-0.166,-0.344,0.99,1.168
0.16352634433100022,-0.138,-0.316,0.986,1.164
0.16981581911296179,-0.142,-0.352,0.978,1.188
0.17610529389492333,-0.172,-0.356,0.97,1.154
0.18239476867688487,-0.222,-0.376,0.984,1.138
0.18868424345884643,-0.234,-0.412,0.978,1.156
0.19497371824080797,-0.232,-0.392,0.984,1.1440000000000001
0.20126319302276952,-0.226,-0.356,0.972,1.1019999999999999
0.20755266780473106,-0.174,-0.398,0.974,1.198
0.2138421425866926,-0.16,-0.412,0.98,1.232
0.22013161736865416,-0.232,-0.422,0.972,1.162
0.2264210921506157,-0.22,-0.454,0.974,1.208
0.23271056693257725,-0.22,-0.408,0.966,1.154
0.2390000417145388,-0.228,-0.466,0.976,1.214
0.24528951649650035,-0.218,-0.45,0.966,1.198
0.2515789912784619,-0.282,-0.44,0.964,1.1219999999999999
0.25786846606042346,-0.196,-0.478,0.964,1.246
0.264157940842385,-0.298,-0.502,0.958,1.162
0.27044741562434654,-0.26,-0.502,0.97,1.212
0.2767368904063081,-0.28,-0.536,0.972,1.228
0.2830263651882696,-0.27,-0.504,0.964,1.198
0.2893158399702312,-0.292,-0.514,0.97,1.192
0.2956053147521927,-0.232,-0.548,0.946,1.262
0.3018947895341543,-0.326,-0.564,0.94,1.178
0.30818426431611584,-0.298,-0.568,0.962,1.2319999999999998
0.31447373909807735,-0.298,-0.582,0.956,1.2399999999999998
