omega_tau,C_12,C_13,C_23,K_3
0.0,0.044,0.01,1.0,1.034
0.006289474781961547,0.012,-0.014,1.0,1.026
0.012578949563923095,0.004,-0.058,1.0,1.062
0.018868424345884642,0.052,-0.022,1.0,1.074
0.02515789912784619,-0.002,-0.062,1.0,1.06
0.03144737390980774,0.002,-0.132,0.998,1.1320000000000001
0.037736848691769284,-0.044,-0.082,1.0,1.038
0.04402632347373083,-0.07,-0.042,0.998,0.97
0.05031579825569238,-0.066,-0.116,0.998,1.048
0.056605273037653926,-0.066,-0.098,0.998,1.03
0.06289474781961547,-0.086,-0.176,0.998,1.088
0.06918422260157703,-0.054,-0.112,0.998,1.056
0.07547369738353857,-0.12,-0.168,0.996,1.044
0.08176317216550011,-0.078,-0.136,1.0,1.058
0.08805264694746166,-0.088,-0.182,0.994,1.088
0.09434212172942322,-0.08,-0.23,0.99,1.1400000000000001
0.10063159651138476,-0.086,-0.188,1.0,1.102
0.1069210712933463,-0.05,-0.18,0.994,1.1239999999999999
0.11321054607530785,-0.104,-0.24,0.998,1.134
0.1195000208572694,-0.112,-0.294,0.996,1.178
0.12578949563923095,-0.08,-0.256,0.998,1.174
0.1320789704211925,-0.092,-0.33,0.992,1.23
0.13836844520315406,-0.134,-0.264,0.992,1.1219999999999999
0.1446579199851156,-0.172,-0.276,0.986,1.09
0.15094739476707714,-0.184,-0.244,0.99,1.05
0.15723686954903868,-0.152,-0.288,0.996,1.132
0.16352634433100022,-0.116,-0.314,0.99,1.188
0.16981581911296179,-0.18,-0.312,0.98,1.112
0.17610529389492333,-0.172,-0.4,0.992,1.2200000000000002
0.18239476867688487,-0.136,-0.32,0.976,1.16
0.18868424345884643,-0.146,-0.394,0.976,1.224
0.19497371824080797,-0.214,-0.398,0.984,1.1680000000000001
0.20126319302276952,-0.198,-0.42,0.98,1.202
0.20755266780473106,-0.264,-0.418,0.986,1.14
0.2138421425866926,-0.192,-0.404,0.972,1.1840000000000002
0.22013161736865416,-0.214,-0.406,0.988,1.1800000000000002
0.2264210921506157,-0.19,-0.464,0.98,1.254
0.23271056693257725,-0.268,-0.476,0.966,1.174
0.2390000417145388,-0.234,-0.492,0.968,1.226
0.24528951649650035,-0.302,-0.452,0.978,1.128
0.2515789912784619,-0.278,-0.474,0.974,1.17
