omega_tau,C_12,C_13,C_23,K_3
0.0,0.0046,0.0022,1.0,1.0024
0.006289474781961547,-0.0014,0.003,1.0,0.9956
0.012578949563923095,-0.0098,-0.0096,0.9998,0.9996
0.018868424345884642,-0.028,-0.0262,1.0,0.9982
0.02515789912784619,-0.0216,-0.051,0.9998,1.0292000000000001
0.03144737390980774,-0.0414,-0.0438,0.9996,1.002
0.037736848691769284,-0.0182,-0.0894,0.9994,1.0706
0.04402632347373083,-0.0608,-0.0882,0.999,1.0264
0.05031579825569238,-0.0538,-0.124,0.999,1.0692
0.056605273037653926,-0.0448,-0.1384,0.9982,1.0918
0.06289474781961547,-0.0686,-0.1356,0.9972,1.0642
0.06918422260157703,-0.0642,-0.1366,0.9968,1.0692
0.07547369738353857,-0.069,-0.153,0.9982,1.0822
0.08176317216550011,-0.0868,-0.1784,0.9956,1.0872000000000002
0.08805264694746166,-0.0716,-0.1724,0.9962,1.097
0.09434212172942322,-0.1,-0.1894,0.9948,1.0842
0.10063159651138476,-0.1124,-0.211,0.9938,1.0924
0.1069210712933463,-0.091,-0.201,0.9932,1.1032
0.11321054607530785,-0.12,-0.2332,0.994,1.1072
0.1195000208572694,-0.113,-0.2274,0.9932,1.1076
0.12578949563923095,-0.1288,-0.2514,0.9918,1.1144
0.1320789704211925,-0.1358,-0.2646,0.9932,1.1219999999999999
0.13836844520315406,-0.1286,-0.272,0.9882,1.1316
0.1446579199851156,-0.1494,-0.2714,0.9894,1.1114
0.15094739476707714,-0.1448,-0.2888,0.9916,1.1356
0.15723686954903868,-0.1628,-0.3172,0.985,1.1394
0.16352634433100022,-0.1452,-0.304,0.9844,1.1432
0.16981581911296179,-0.1658,-0.3436,0.9866,1.1644
0.17610529389492333,-0.161,-0.339,0.9836,1.1616
0.18239476867688487,-0.186,-0.3652,0.9824,1.1616
0.18868424345884643,-0.1738,-0.3708,0.9798,1.1768
0.19497371824080797,-0.1936,-0.3854,0.9798,1.1716
0.20126319302276952,-0.2074,-0.4148,0.9764,1.1838
0.20755266780473106,-0.2032,-0.3952,0.977,1.169
0.2138421425866926,-0.207,-0.4176,0.9778,1.1884000000000001
0.22013161736865416,-0.2112,-0.4298,0.9762,1.1947999999999999
0.2264210921506157,-0.2194,-0.4308,0.9796,1.191
0.23271056693257725,-0.2344,-0.4452,0.9726,1.1834
0.2390000417145388,-0.2518,-0.469,0.9728,1.19
0.24528951649650035,-0.2528,-0.4708,0.9696,1.1876
0.2515789912784619,-0.2424,-0.4648,0.9664,1.1888
0.25786846606042346,-0.2578,-0.497,0.9642,1.2033999999999998
0.264157940842385,-0.2572,-0.5164,0.9614,1.2206000000000001
0.27044741562434654,-0.2668,-0.5104,0.9642,1.2078
0.2767368904063081,-0.2698,-0.5322,0.9592,1.2216
0.2830263651882696,-0.2702,-0.5272,0.962,1.2189999999999999
0.2893158399702312,-0.2932,-0.5624,0.96,1.2292
0.2956053147521927,-0.285,-0.5742,0.9616,1.2508000000000001
0.3018947895341543,-0.2974,-0.566,0.9582,1.2268
0.30818426431611584,-0.3038,-0.5696,0.9472,1.213
0.31447373909807735,-0.3148,-0.5814,0.9504,1.217
0.3207632138800389,-0.3056,-0.6042,0.9524,1.251
0.32705268866200043,-0.3064,-0.6236,0.941,1.2582
0.333342163443962,-0.3054,-0.6098,0.9434,1.2478
0.33963163822592357,-0.3386,-0.6254,0.9456,1.2324
0.3459211130078851,-0.3358,-0.6422,0.9454,1.2518
0.35221058778984665,-0.3498,-0.6572,0.9402,1.2476
0.3585000625718082,-0.3406,-0.6548,0.9378,1.252
0.36478953735376973,-0.343,-0.6766,0.9332,1.2668
0.3710790121357313,-0.3638,-0.6814,0.9292,1.2468
0.37736848691769287,-0.3766,-0.6816,0.9328,1.2378
0.3836579616996544,-0.3902,-0.698,0.9232,1.2309999999999999
0.38994743648161595,-0.3698,-0.7012,0.9256,1.2570000000000001
0.39623691126357746,-0.3838,-0.7122,0.9256,1.254
0.40252638604553903,-0.3836,-0.7224,0.9222,1.2610000000000001
0.4088158608275006,-0.3934,-0.733,0.9144,1.254
0.4151053356094621,-0.4068,-0.7406,0.9132,1.2469999999999999
0.4213948103914237,-0.4068,-0.7502,0.9134,1.2568
0.4276842851733852,-0.4268,-0.7564,0.91,1.2396
0.43397375995534676,-0.407,-0.7692,0.9168,1.279
0.44026323473730833,-0.4324,-0.7792,0.9118,1.2586
0.44655270951926984,-0.4542,-0.7724,0.8976,1.2158
0.4528421843012314,-0.42,-0.7792,0.8962,1.2554
0.459131659083193,-0.4384,-0.7908,0.8976,1.25
0.4654211338651545,-0.4398,-0.8052,0.8874,1.2528
0.47171060864711606,-0.4406,-0.8094,0.889,1.2578
0.4780000834290776,-0.4446,-0.8144,0.8862,1.256
0.48428955821103914,-0.4592,-0.8236,0.8872,1.2516
0.4905790329930007,-0.4736,-0.826,0.8834,1.2357999999999998
0.4968685077749622,-0.4822,-0.836,0.876,1.2298
0.5031579825569238,-0.487,-0.8418,0.8726,1.2274
0.5094474573388853,-0.5006,-0.85,0.8682,1.2176
0.5157369321208469,-0.4964,-0.8416,0.8728,1.218
0.5220264069028084,-0.501,-0.8676,0.8688,1.2354
0.52831588168477,-0.4924,-0.8652,0.8708,1.2436
0.5346053564667316,-0.5158,-0.8806,0.8512,1.216
0.5408948312486931,-0.5102,-0.8874,0.8634,1.2406
0.5471843060306546,-0.5108,-0.8836,0.8616,1.2344
0.5534737808126162,-0.5274,-0.8898,0.8528,1.2152
0.5597632555945777,-0.539,-0.8978,0.8412,1.2
0.5660527303765392,-0.5312,-0.9094,0.8414,1.2196
0.5723422051585008,-0.536,-0.9112,0.837,1.2122
0.5786316799404624,-0.5464,-0.912,0.8364,1.202
0.5849211547224239,-0.549,-0.9144,0.8384,1.2038
0.5912106295043854,-0.5626,-0.926,0.8336,1.197
0.597500104286347,-0.5598,-0.9318,0.8332,1.2052
