omega_tau,C_12,C_13,C_23,K_3
0.0,-0.012,0.008,1.0,0.98
0.006289474781961547,0.03,-0.042,1.0,1.072
0.012578949563923095,-0.04,0.028,1.0,0.9319999999999999
0.018868424345884642,-0.036,-0.036,0.998,0.998
0.02515789912784619,0.03,-0.024,1.0,1.054
0.03144737390980774,-0.084,-0.088,1.0,1.004
0.037736848691769284,-0.01,-0.052,1.0,1.042
0.04402632347373083,-0.05,-0.08,1.0,1.03
0.05031579825569238,-0.044,-0.148,0.998,1.1019999999999999
0.056605273037653926,-0.04,-0.134,0.998,1.092
0.06289474781961547,-0.03,-0.146,0.998,1.1139999999999999
0.06918422260157703,-0.016,-0.168,0.996,1.148
0.07547369738353857,-0.078,-0.098,0.996,1.016
0.08176317216550011,-0.086,-0.19,0.996,1.1
0.08805264694746166,-0.082,-0.202,0.994,1.114
0.09434212172942322,-0.068,-0.134,0.992,1.0579999999999998
0.10063159651138476,-0.12,-0.218,0.994,1.092
0.1069210712933463,-0.09,-0.242,0.988,1.1400000000000001
0.11321054607530785,-0.15,-0.232,0.994,1.076
0.1195000208572694,-0.074,-0.22,0.998,1.1440000000000001
0.12578949563923095,-0.14,-0.312,0.986,1.158
0.1320789704211925,-0.156,-0.236,0.986,1.0659999999999998
0.13836844520315406,-0.102,-0.238,0.982,1.1179999999999999
0.1446579199851156,-0.14,-0.312,0.994,1.166
0.15094739476707714,-0.126,-0.26,0.976,1.1099999999999999
0.15723686954903868,-0.132,-0.31,0.996,1.174
0.16352634433100022,-0.15,-0.322,0.978,1.15
0.16981581911296179,-0.21,-0.338,0.986,1.114
0.17610529389492333,-0.228,-0.4,0.982,1.154
0.18239476867688487,-0.224,-0.4,0.978,1.154
0.18868424345884643,-0.168,-0.386,0.984,1.202
0.19497371824080797,-0.188,-0.324,0.982,1.118
0.20126319302276952,-0.182,-0.354,0.964,1.1360000000000001
0.20755266780473106,-0.182,-0.42,0.984,1.222
0.2138421425866926,-0.15,-0.416,0.978,1.244
0.22013161736865416,-0.232,-0.442,0.984,1.194
0.2264210921506157,-0.242,-0.442,0.982,1.182
0.23271056693257725,-0.206,-0.418,0.982,1.194
0.2390000417145388,-0.222,-0.448,0.978,1.204
0.24528951649650035,-0.268,-0.478,0.976,1.186
0.2515789912784619,-0.208,-0.464,0.968,1.224
0.25786846606042346,-0.29,-0.476,0.962,1.148
0.264157940842385,-0.224,-0.514,0.978,1.268
0.27044741562434654,-0.286,-0.524,0.962,1.2
0.2767368904063081,-0.266,-0.488,0.96,1.182
0.2830263651882696,-0.252,-0.542,0.958,1.248
0.2893158399702312,-0.28,-0.548,0.944,1.212
0.2956053147521927,-0.304,-0.466,0.952,1.1139999999999999
